Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,eigencentrality
AAaudivert,AAaudivert,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,178,0
mamiadrieu,mamiadrieu,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
SheilaBaiao,SheilaBaiao,,0,1,1,0,1,1,1,1,1,0,0,0.000006,0.00002,555,0
arinhell,arinhell,,0,1,1,0,1,1,1,1,1,0,0,0.000133,0.00002,24,0
fforattini,fforattini,,0,1,1,0,1,1,1,1,1,0,0,0.000826,0.00002,24,0
aline_costa2004,aline_costa2004,,0,2,2,0,2,2,1,1,1,0,0,0.000462,0.00002,24,0
selmanery,selmanery,,0,1,1,0,2,2,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
samuelborellipr,samuelborellipr,,0,2,2,0,2,2,10,0.274181,0.314051,0,0,0.001235,0.00002,24,0
Claudin99460385,Claudin99460385,,0,1,1,0,1,1,1,1,1,0,0,0.000376,0.00002,24,0
brucetalcott,brucetalcott,,0,1,1,0,1,1,1,1,1,0,0,0.000004,0.00002,555,0
liamabat,liamabat,,0,11,11,0,12,12,11,0.210719,0.253796,0,0,0.006246,0.00002,486,0
BeltraoElza,BeltraoElza,,0,2,2,0,2,2,1,1,1,0,0,0.00005,0.00002,555,0
MarcimVianna,MarcimVianna,,0,1,1,0,1,1,1,1,1,0,0,0.001635,0.00002,35,0
trivianamjuning,trivianamjuning,,0,1,1,0,1,1,1,1,1,0,0,0.000107,0.00002,24,0
guru_sc,guru_sc,,0,7,7,0,7,7,3,0.75,0.87037,0,0,0.015328,0.00002,35,0
Dandan_paz,Dandan_paz,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0.00002,555,0
MarciaTinelli,MarciaTinelli,,0,8,8,0,8,8,3,0.705882,0.819444,0,0,0.014992,0.00002,24,0
Hatshepsut_alfa,Hatshepsut_alfa,,0,1,1,0,1,1,1,1,1,0,0,0.000027,0.00002,555,0
reiniciarr,reiniciarr,,0,1,1,0,1,1,1,1,1,0,0,0.000232,0.00002,466,0
canaciff,canaciff,,0,11,11,0,11,11,11,0.220513,0.257971,0,0,0.006747,0.00002,24,0
alberany_alves,alberany_alves,,0,12,12,0,13,13,12,0.189514,0.231439,0,0,0.00314,0.00002,24,0
gremargus,gremargus,,2,1,3,2,1,3,2,0.666667,0.75,3.5,0.000058,0.000006,0.000025,24,0.000437
roaraz,roaraz,,0,1,1,0,1,1,1,1,1,0,0,0.000328,0.00002,24,0
Ivani71294938,Ivani71294938,,1,7,8,1,7,8,12,0.184409,0.212515,3.5,0.00034,0.01764,0.000021,24,0.000218
CatiaAmorim5,CatiaAmorim5,,0,20,20,0,23,23,10,0.294817,0.366263,0,0,0.027499,0.00002,486,0
Jefersoncastan2,Jefersoncastan2,,0,6,6,0,8,8,12,0.189922,0.225343,0,0,0.017333,0.00002,486,0
afelipes7169,afelipes7169,,0,12,12,0,12,12,9,0.280478,0.324974,0,0,0.008129,0.00002,486,0
VIBOANTONIO2,VIBOANTONIO2,,0,6,6,0,7,7,12,0.191055,0.22705,0,0,0.003858,0.00002,486,0
Mah856,Mah856,,0,15,15,0,18,18,12,0.193367,0.244836,0,0,0.021738,0.00002,486,0
AlanBergmann,AlanBergmann,,0,1,1,0,1,1,12,0.182836,0.200075,0,0,0.000643,0.00002,24,0
lovehelenah,lovehelenah,,0,3,3,0,3,3,1,1,1,0,0,0.013119,0.00002,24,0
sriviere28,sriviere28,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,56,0
Camilabrazil44,Camilabrazil44,,0,1,1,0,1,1,1,1,1,0,0,0.000006,0.00002,555,0
PImprovavel,PImprovavel,,0,2,2,0,2,2,1,1,1,0,0,0.011747,0.00002,466,0
ramyavellanki,ramyavellanki,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,130,0
TicTacIndia,TicTacIndia,,2,0,2,2,0,2,0,0,0,0,0,0,0.000055,130,0.000437
cm6652,cm6652,,0,1,1,0,1,1,1,1,1,0,0,0.000232,0.00002,466,0
faraebilla,faraebilla,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,21,0
brunoda001,brunoda001,,0,1,1,0,1,1,1,1,1,0,0,0.000047,0.00002,24,0
avadakedavrals,avadakedavrals,,0,4,4,0,4,4,1,1,1,0,0,0.000686,0.00002,24,0
valeria130693,valeria130693,,0,6,6,0,6,6,3,0.647059,0.757576,0,0,0.013384,0.00002,24,0
SRodrig59875907,SRodrig59875907,,0,1,1,0,1,1,1,1,1,0,0,0.000027,0.00002,555,0
xxgrimmes,xxgrimmes,,0,1,1,0,1,1,1,1,1,0,0,0.000328,0.00002,24,0
Carlos83369808,Carlos83369808,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
Marcus_Nasc,Marcus_Nasc,,0,1,1,0,1,1,10,0.273962,0.312593,0,0,0.000386,0.00002,24,0
Juu21Ary30,Juu21Ary30,,0,2,2,0,3,3,2,0.75,0.833333,0,0,0,0.00002,427,0
cilorrane,cilorrane,,1,0,1,1,0,1,0,0,0,0,0,0,0.000029,427,0.000218
king_lum16,king_lum16,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,131,0
tcane04,tcane04,,1,0,1,1,0,1,0,0,0,0,0,0,0.000038,131,0.000218
BrenoBr90953231,BrenoBr90953231,,0,5,5,0,5,5,10,0.188151,0.212792,0,0,0.002199,0.00002,24,0
AlvesPanerai,AlvesPanerai,,0,23,23,0,29,29,9,0.281174,0.346305,0,0,0.03461,0.00002,486,0
evandroChuck,evandroChuck,,0,11,11,0,13,13,10,0.263854,0.322611,0,0,0.01921,0.00002,445,0
olivamercedes63,olivamercedes63,,0,1,1,0,1,1,1,1,1,0,0,0.000004,0.00002,65,0
deborahAndrade,deborahAndrade,,0,3,3,0,3,3,11,0.21654,0.239724,0,0,0.012046,0.00002,24,0
SaidaaDireita,SaidaaDireita,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,132,0
DaConservadora,DaConservadora,,1,0,1,1,0,1,0,0,0,0,0,0,0.000038,132,0.000218
carlospa191,carlospa191,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,65,0
DanStarky,DanStarky,,0,10,10,0,12,12,10,0.25597,0.299494,0,0,0.002054,0.00002,24,0
micom_mi,micom_mi,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
CGuevaris,CGuevaris,,1,2,3,1,2,3,1,1,1,20.416667,0.000163,0.003128,0.000021,35,0.000272
EmersonAnomia,EmersonAnomia,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
davidmirandario,davidmirandario,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
ocolunista_,ocolunista_,,3,4,7,4,5,9,12,0.188669,0.219026,1365.816667,0.000186,0.005815,0.000043,35,0.000727
WildJaguarZ,WildJaguarZ,,1,6,7,1,7,8,3,0.666667,0.783333,13.456044,0.000163,0.013097,0.000021,24,0.000272
AndreLu40661165,AndreLu40661165,,1,2,3,1,2,3,11,0.203079,0.227696,28,0.000163,0.0035,0.000021,24,0.000272
k2amichi,k2amichi,,1,7,8,2,8,10,11,0.207491,0.238953,146.308333,0.000163,0.001202,0.000021,24,0.000272
AdrianoLArgolo,AdrianoLArgolo,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
peterpveiga,peterpveiga,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
evilandiom,evilandiom,,3,0,3,3,0,3,0,0,0,0,0.000776,0,0.000022,24,0.000713
casadarei2,casadarei2,,2,2,4,2,3,5,1,1,1,0.706044,0.000628,0.011912,0.000022,445,0.00049
eujacqueeee,eujacqueeee,,2,0,2,2,0,2,0,0,0,0,0.000537,0,0.000022,486,0.00049
luiz_galo1313,luiz_galo1313,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
fiscaldoibama,fiscaldoibama,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
wagnermooura,wagnermooura,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
AndradeeRoberta,AndradeeRoberta,,1,3,4,1,3,4,2,0.8,0.875,21.733333,0.000163,0.003302,0.000021,24,0.000272
lucianoayan,lucianoayan,,3,0,3,3,0,3,0,0,0,0,0.000196,0,0.000036,437,0.000708
andreanivaldo,andreanivaldo,,1,1,2,1,1,2,1,1,1,3.25,0.000163,0.000232,0.000021,24,0.000272
catarinamsrx,catarinamsrx,,5,1,6,5,1,6,1,1,1,3316,0.001181,0.000047,0.000052,35,0.001508
eneidafdacosta,eneidafdacosta,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
OdetMiliciany58,OdetMiliciany58,,1,0,1,1,0,1,0,0,0,0,0.000163,0,0.000021,24,0.000272
Romulo496,Romulo496,,1,2,3,1,2,3,1,1,1,8.083333,0.000163,0.002491,0.000021,24,0.000272
